ApplStandard,MEPSComp,N-Standard,Model_No,Family Name,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Product Website,Representative Brand URL,Variable Output Compressor,Star Image Large,Star Image Small
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,I09AWN-NB11/R09AWN-UB11,,,LG,0.04,Non Ducted,Single Split System,Wall Hung,Air,Air,South Korea,0.56,2.46,2.5,210.0,,,,285.0,0.73,3.21,Calorimeter Room,4.508,4.427,True,100.0,,1.517,1.517,0.0,0.0,,,,4.46707557898351,4.39569444793687,,,4.43415115796703,4.29138889587375,4.0,4.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",66370,2017-06-28,,Approved,Reverse Cycle,885.0,Class 3,False,,False,False,False,False,,4.508,Unavailable,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_4_4.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,I12AWN-NB11/R12AWN-UB11,,,LG,0.5,Non Ducted,Single Split System,Wall Hung,Air,Air,South Korea,0.9,3.0,3.5,210.0,,,,285.0,0.98,4.0,Calorimeter Room,3.912,4.118,True,100.0,,1.517,1.517,0.0,0.0,,,,3.88992791871575,4.09663749249515,,,3.2798558374315,3.6932749849903,3.0,3.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",66371,2017-06-28,,Approved,Reverse Cycle,885.0,Class 3,False,,False,False,False,False,,3.912,Unavailable,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_3_3.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,I18AWN-NC11/R18AWN-UC11,,,LG,0.45,Non Ducted,Single Split System,Wall Hung,Air,Air,South Korea,1.5,4.75,5.2,250.0,,,,325.0,1.65,6.3,Calorimeter Room,3.468,3.86,True,100.0,,1.136,1.136,0.0,0.0,,,,3.45930767960741,3.85089528708507,,,2.41861535921483,3.20179057417013,2.0,3.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",66373,2017-06-28,,Approved,Reverse Cycle,1030.0,Class 4,False,,False,False,False,False,,3.468,Unavailable,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_3.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,I24AWN-NC11/R24AWN-UC11,,,LG,2.0,Non Ducted,Single Split System,Wall Hung,Air,Air,South Korea,2.35,5.4,7.4,250.0,,,,325.0,2.45,8.6,Calorimeter Room,3.167,3.636,True,50.0,,1.136,1.136,3.64939870490287,4.48078920041537,,,,3.16156103084907,3.63010632250228,,,1.82312206169814,2.76021264500456,1.5,2.5,Calorimeter Room,Single,R410A,"Australia,New Zealand",66374,2017-06-28,,Approved,Reverse Cycle,1030.0,Class 4,False,,False,False,False,False,,3.167,Unavailable,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_1.5_2.5.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.3:2005,TRC-09,,,Tranquility,0.0,Non Ducted,Packaged,,Water loop,Water Loop,United States of America,0.561,2.13,2.13,305.0,,,,533.0,0.565,2.79,Enthalpy Test Room,3.79,4.95,False,,,5.5,5.5,0.0,0.0,,,,3.68136331426399,4.78075361126818,,,0.0,0.0,0.0,0.0,None,Single,R410A,"Australia,New Zealand",66396,2017-10-07,,Approved,Reverse Cycle,1219.0,Class 13,False,,True,False,False,False,DXM,3.89,Unavailable,,,http://www.climatemaster.com/,http://www.climatemaster.com/,False,,
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.3:2005,TRC-12,,,Tranquility,0.0,Non Ducted,Packaged,,Water loop,Water Loop,United States of America,0.72,2.2,2.2,305.0,,,,533.0,0.77,3.66,Enthalpy Test Room,3.96,4.77,False,,,5.5,5.5,0.0,0.0,,,,3.85870374632746,4.64119504431961,,,0.0,0.0,0.0,0.0,None,Single,R410A,"Australia,New Zealand",66399,2017-10-07,,Approved,Reverse Cycle,1219.0,Class 13,False,,True,False,False,False,DXM,4.1,Unavailable,,,http://www.climatemaster.com/,http://www.climatemaster.com/,False,,
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.3:2005,TRC-15,,,Tranquility,0.0,Non Ducted,Packaged,,Water loop,Water Loop,United States of America,0.818,2.85,2.85,305.0,,,,533.0,0.841,4.22,Enthalpy Test Room,3.97,5.02,False,,,5.5,5.5,0.0,0.0,,,,3.88481813074505,4.90931723263416,,,0.0,0.0,0.0,0.0,None,Single,R410A,"Australia,New Zealand",66400,2017-10-07,,Approved,Reverse Cycle,1219.0,Class 13,False,,True,False,False,False,DXM,6.36,Unavailable,,,http://www.climatemaster.com/,http://www.climatemaster.com/,False,,
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS Oct 2011,AS/NZS 3823.1.3:2005,TRC-18,,,Tranquility,0.0,Non Ducted,Packaged,,Water loop,Water Loop,United States of America,0.947,3.54,3.54,305.0,0.0,,,533.0,0.998,5.17,Enthalpy Test Room,4.2027,5.1804,False,,,5.5,5.5,0.0,0.0,,,,4.12183224764134,5.0856294081193,,,0.0,0.0,0.0,0.0,None,Single,R410A,"Australia,New Zealand",66402,2017-10-01,,Approved,Reverse Cycle,1219.0,Class 13,False,,True,False,False,False,DXM,4.2027,Unavailable,,,http://www.climatemaster.com/,http://www.climatemaster.com/,False,,
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,W07UCA-CB61,,,LG,0.1,Non Ducted,Window Wall,,Air,,China,0.66,2.1,2.2,555.0,,,,380.0,,,Calorimeter Room,3.34,,False,,,0.8,,0.0,0.0,,,,3.32779703446948,,,,2.15559406893896,,2.0,,Calorimeter Room,Single,R410A,"Australia,New Zealand",66406,2017-07-01,,Approved,Cooling Only,600.0,Class 1,False,,False,False,False,False,,3.341,Unavailable,,,,,False,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Blue_EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Blue_EnergyStarRating_2_Star.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,W09UCM-CB63,,,LG,0.6,Non Ducted,Window Wall,,Air,,China,0.82,2.15,2.75,555.0,,,,380.0,,,Calorimeter Room,3.39,,False,,,1.4,,0.0,0.0,,,,3.37503594352359,,,,2.25007188704717,,2.0,,Calorimeter Room,Single,R410A,"Australia,New Zealand",66407,2017-07-01,,Approved,Cooling Only,600.0,Class 1,False,,False,False,False,False,,3.395,Unavailable,,,,,False,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Blue_EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Blue_EnergyStarRating_2_Star.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,W09UHM-MB61,,,LG,0.57,Non Ducted,Window Wall,,Air,Air,China,0.83,2.18,2.75,680.0,,,,428.0,0.71,2.45,Calorimeter Room,3.35,3.51,False,,,1.5,1.5,0.0,0.0,,,,3.33025973870454,3.48484634803334,,,2.16051947740908,2.46969269606668,2.0,2.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",66408,2017-07-01,,Approved,Reverse Cycle,660.0,Class 1,False,,False,False,False,False,,3.35,Unavailable,,,,,False,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_2_2.png
Greenhouse and Energy Minimum Standards (Air Conditioners and Heat Pumps) Determination 2012,MEPS 2011,AS/NZS 3823.1.1:1998/Amdt 3:2006,I28AWN-NC11/R28AWN-UC11,,,LG,1.5,Non Ducted,Single Split System,Wall Hung,Air,Air,South Korea,2.58,6.5,8.0,250.0,,,,325.0,2.78,9.6,Calorimeter Room,3.102,3.465,True,50.0,,1.136,1.136,4.29053420805998,4.41130434782609,,,,3.0978751549594,3.4603570583071,,,1.6957503099188,2.42071411661421,1.5,2.0,Calorimeter Room,Single,R410A,"Australia,New Zealand",66428,2017-07-01,,Approved,Reverse Cycle,1030.0,Class 4,False,,False,False,False,False,,3.102,Unavailable,,,,,True,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/aircon_rating_1.5_2.png
